Cx,CrSem,CeSem,CdEv,Neg,Coref,Poss
doen_V,Inanim,Inanim,Phys,No,No,No
doen_V,Inanim,Inanim,Soc,No,No,No
doen_V,Inanim,Inanim,Ment,No,No,No
doen_V,Inanim,Inanim,Soc,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,Yes,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,Yes,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Soc,No,No,No
doen_V,Inanim,Anim,Soc,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Inanim,Anim,Ment,Yes,No,No
doen_V,Inanim,Anim,Ment,No,No,No
doen_V,Anim,Inanim,Soc,No,No,No
doen_V,Anim,Inanim,Soc,No,No,No
doen_V,Anim,Anim,Ment,No,No,No
doen_V,Anim,Anim,Ment,No,No,No
doen_V,Anim,Anim,Ment,No,No,No
doen_V,Anim,Anim,Soc,No,Yes,No
doen_V,Anim,Anim,Soc,No,No,No
doen_V,Anim,Anim,Soc,No,Yes,No
doen_V,Anim,Anim,Soc,No,Yes,No
doen_V,Anim,Anim,Soc,No,Yes,No
doen_V,NA,Anim,Ment,No,No,No
doen_V,Anim,Inanim,Soc,No,No,No
doen_V,Anim,Inanim,Soc,No,No,No
doen_V,Anim,Anim,Soc,No,Yes,No
laten_V,Inanim,Anim,Ment,No,No,No
laten_V,Inanim,Anim,Ment,No,No,No
laten_V,Inanim,Anim,Ment,No,No,No
laten_V,Inanim,Anim,Ment,No,Yes,No
laten_V,Inanim,Anim,Ment,No,Yes,No
laten_V,Inanim,Anim,Ment,No,No,No
laten_V,Anim,Inanim,Soc,No,Yes,No
laten_V,Anim,Inanim,Soc,No,Yes,No
laten_V,Anim,Inanim,Soc,No,Yes,No
laten_V,Anim,Inanim,Soc,No,No,No
laten_V,Anim,Inanim,Soc,No,No,No
laten_V,Anim,Inanim,Soc,No,No,No
laten_V,Anim,Inanim,Ment,No,No,Yes
laten_V,Anim,Inanim,Soc,No,No,Yes
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,Yes,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Soc,No,No,No
laten_V,Anim,Inanim,Soc,No,No,No
laten_V,Anim,NA,Phys,No,No,No
laten_V,Anim,Inanim,Soc,No,No,No
laten_V,Anim,Inanim,Phys,No,No,No
laten_V,Anim,Anim,Soc,No,No,No
laten_V,Anim,Anim,Soc,No,No,No
laten_V,Anim,Anim,Soc,No,No,No
laten_V,Anim,Inanim,Soc,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Phys,Yes,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
laten_V,Anim,Anim,Ment,No,No,No
