chapter	linenumber	word	n_words	n
Глава 1	1	пэлем	4804	1
Глава 1	1	грэнвил	4804	1
Глава 1	1	вудхауз	4804	1
Глава 1	1	фамильная	4804	1
Глава 1	1	честь	4804	2
Глава 1	1	вустеров	4804	3
Глава 1	3	глава	4804	1
Глава 1	3	1	4804	1
Глава 1	5	я	4804	133
Глава 1	5	выпростал	4804	1
Глава 1	5	руку	4804	2
Глава 1	5	из	4804	26
Глава 1	5	под	4804	5
Глава 1	5	одеяла	4804	1
Глава 1	5	и	4804	141
Глава 1	5	позвонил	4804	1
Глава 1	5	дживса	4804	5
Глава 1	6	добрый	4804	1
Глава 1	6	вечер	4804	1
Глава 1	6	дживс	4804	12
Глава 1	7	доброе	4804	2
Глава 1	7	утро	4804	3
Глава 1	7	сэр	4804	17
Глава 1	8	я	4804	133
Глава 1	8	удивился	4804	3
Глава 1	9	разве	4804	4
Глава 1	9	сейчас	4804	11
Глава 1	9	утро	4804	3
Глава 1	10	да	4804	17
Глава 1	10	сэр	4804	17
Глава 1	11	вы	4804	28
Глава 1	11	уверены	4804	1
Глава 1	11	за	4804	26
Глава 1	11	окнами	4804	1
Глава 1	11	совсем	4804	3
Глава 1	11	темно	4804	2
Глава 1	12	это	4804	31
Глава 1	12	туман	4804	2
Глава 1	12	сэр	4804	17
Глава 1	12	на	4804	65
Глава 1	12	дворе	4804	1
Глава 1	12	осень	4804	1
Глава 1	12	вы	4804	28
Глава 1	12	конечно	4804	8
Глава 1	12	помните	4804	2
Глава 1	12	пора	4804	2
Глава 1	13	плодоношенья	4804	3
Глава 1	13	и	4804	141
Глава 1	13	туманов	4804	2
Глава 1	14	пора	4804	2
Глава 1	14	чего	4804	2
Глава 1	15	плодоношенья	4804	3
Глава 1	15	сэр	4804	17
Глава 1	15	и	4804	141
Глава 1	15	туманов	4804	2
Глава 1	16	а	4804	23
Глава 1	16	а	4804	23
Глава 1	16	ну	4804	12
Глава 1	16	да	4804	17
Глава 1	16	конечно	4804	8
Глава 1	16	все	4804	20
Глава 1	16	это	4804	31
Глава 1	16	прекрасно	4804	2
Глава 1	16	дживс	4804	12
Глава 1	16	однако	4804	6
Глава 1	16	сделайте	4804	1
Глава 1	17	любезность	4804	2
Глава 1	17	приготовьте	4804	1
Глава 1	17	мне	4804	33
Глава 1	17	одну	4804	2
Глава 1	17	из	4804	26
Глава 1	17	ваших	4804	2
Глава 1	17	смесей	4804	1
Глава 1	17	для	4804	13
Глава 1	17	воскрешения	4804	1
Глава 1	17	из	4804	26
Глава 1	17	мертвых	4804	1
Глава 1	18	уже	4804	8
Глава 1	18	приготовил	4804	1
Глава 1	18	сэр	4804	17
Глава 1	18	она	4804	19
Глава 1	18	ждет	4804	1
Глава 1	18	в	4804	147
Глава 1	18	холодильнике	4804	1
Глава 1	19	он	4804	43
Глава 1	19	выскользнул	4804	1
Глава 1	19	из	4804	26
Глава 1	19	спальни	4804	1
Глава 1	19	а	4804	23
Глава 1	19	я	4804	133
Глава 1	19	сел	4804	2
Глава 1	19	в	4804	147
Глава 1	19	постели	4804	1
Глава 1	19	с	4804	57
Глава 1	19	не	4804	90
Глава 1	19	слишком	4804	5
Глава 1	19	приятным	4804	1
Глава 1	19	и	4804	141
Глава 1	20	таким	4804	1
Глава 1	20	знакомым	4804	1
Глава 1	20	ощущением	4804	1
Глава 1	20	что	4804	84
Глава 1	20	вот	4804	16
Глава 1	20	сейчас	4804	11
Глава 1	20	то	4804	18
Глава 1	20	я	4804	133
Глава 1	20	и	4804	141
Глава 1	20	отдам	4804	1
Глава 1	20	богу	4804	2
Глава 1	20	душу	4804	2
Глава 1	20	накануне	4804	1
Глава 1	21	вечером	4804	2
Глава 1	21	я	4804	133
Глава 1	21	ужинал	4804	1
Глава 1	21	в	4804	147
Глава 1	21	трутнях	4804	1
Глава 1	21	с	4804	57
Глава 1	21	гасси	4804	12
Глава 1	21	финк	4804	5
Глава 1	21	ноттлом	4804	1
Глава 1	21	которому	4804	2
Глава 1	21	закатил	4804	1
Глава 1	22	мальчишник	4804	3
Глава 1	22	чтобы	4804	4
Глава 1	22	он	4804	43
Глава 1	22	в	4804	147
Глава 1	22	кругу	4804	2
Глава 1	22	друзей	4804	1
Глава 1	22	простился	4804	1
Глава 1	22	с	4804	57
Глава 1	22	холостой	4804	1
Глава 1	22	жизнью	4804	1
Глава 1	22	перед	4804	5
Глава 1	23	предстоящим	4804	1
Глава 1	23	бракосочетанием	4804	1
Глава 1	23	с	4804	57
Глава 1	23	мадлен	4804	5
Глава 1	23	бассет	4804	15
Глава 1	23	единственной	4804	1
Глава 1	23	дочерью	4804	1
Глава 1	23	сэра	4804	3
Глава 1	24	уоткина	4804	3
Глава 1	24	бассета	4804	7
Глава 1	24	кавалера	4804	1
Глава 1	24	ордена	4804	1
Глава 1	24	британской	4804	1
Глава 1	24	империи	4804	1
Глава 1	24	второй	4804	1
Глава 1	24	степени	4804	2
Глава 1	24	а	4804	23
Глава 1	24	за	4804	26
Глава 1	25	подобное	4804	1
Глава 1	25	времяпрепровождение	4804	1
Глава 1	25	приходится	4804	1
Глава 1	25	жестоко	4804	1
Глава 1	25	расплачиваться	4804	1
Глава 1	25	и	4804	141
Глава 1	25	пока	4804	3
Глава 1	25	я	4804	133
Глава 1	26	дожидался	4804	1
Глава 1	26	дживса	4804	5
Глава 1	26	мне	4804	33
Глава 1	26	представлялось	4804	1
Глава 1	26	будто	4804	3
Глава 1	26	какая	4804	4
Глава 1	26	то	4804	18
Глава 1	26	скотина	4804	1
Глава 1	26	вбивает	4804	1
Глава 1	26	мне	4804	33
Глава 1	26	в	4804	147
Глава 1	27	башку	4804	1
Глава 1	27	железный	4804	1
Глава 1	27	кол	4804	1
Глава 1	27	но	4804	33
Глава 1	27	не	4804	90
Глава 1	27	обыкновенный	4804	1
Глава 1	27	каким	4804	2
Глава 1	27	хеверова	4804	1
Глава 1	27	жена	4804	1
Глава 1	27	иаиль	4804	1
Глава 1	27	пронзила	4804	1
Глава 1	28	череп	4804	1
Глава 1	28	сисаре	4804	1
Глава 1	28	а	4804	23
Глава 1	28	докрасна	4804	1
Глава 1	28	раскаленный	4804	1
Глава 1	29	вернулся	4804	2
Глава 1	29	дживс	4804	12
Глава 1	29	с	4804	57
Глава 1	29	эликсиром	4804	1
Глава 1	29	жизни	4804	3
Глава 1	29	я	4804	133
Глава 1	29	залпом	4804	1
Глава 1	29	осушил	4804	1
Глава 1	29	стакан	4804	1
Глава 1	29	и	4804	141
Глава 1	29	пройдя	4804	1
Глава 1	30	полный	4804	1
Глава 1	30	курс	4804	1
Глава 1	30	крестных	4804	1
Глава 1	30	мук	4804	1
Глава 1	30	который	4804	8
Глава 1	30	непременно	4804	2
