chapter	гарольд	гасси	далия	дживс	мадлен	оутс	спод	стиффи	сэр
Глава 1	0	0.005018820577164366	0.001672940192388122	0.005018820577164366	0.002091175240485153	0	0	4.182350480970305e-4	0.007109995817649519
Глава 10	0	0.007251153592617007	0	0.005273566249176005	0.003955174686882004	6.591957811470006e-4	0.005932762030323006	0.005932762030323006	0.007910349373764008
Глава 11	0	0.013142857142857144	5.714285714285715e-4	0.013142857142857144	0.0034285714285714284	0.001142857142857143	0.004	5.714285714285715e-4	0.028
Глава 12	0	0.007685738684884714	0.011955593509820665	0.016225448334756618	0	8.539709649871904e-4	0.0017079419299743809	0	0.016225448334756618
Глава 13	0.0015408320493066256	0.0015408320493066256	0.0023112480739599386	0.013097072419106317	0	0.0015408320493066256	7.704160246533128e-4	0.0030816640986132513	0.01694915254237288
Глава 14	0	0.0013083296990841692	0.0034888791975577847	0.014827736589620584	0.0017444395987788923	0.005233318796336677	0.0034888791975577847	0.0026166593981683385	0.033580462276493674
Глава 2	0	0.003915810083210965	0.0019579050416054823	0.017131669114047968	0.0034263338228095936	0	9.789525208027412e-4	9.789525208027412e-4	0.017131669114047968
Глава 3	0	0.010954063604240283	7.067137809187279e-4	0.0017667844522968198	0.008480565371024734	0	0.00812720848056537	3.5335689045936394e-4	0.0028268551236749115
Глава 4	0.004076086956521739	0.006453804347826087	0	0.0020380434782608695	0.002717391304347826	0.0020380434782608695	0.002377717391304348	0.007472826086956522	0.002377717391304348
Глава 5	0	0.006812652068126521	0.0019464720194647203	0.0170316301703163	0	4.8661800486618007e-4	0.00535279805352798	0.0034063260340632603	0.023844282238442822
Глава 6	0	0.010700389105058366	0	0.0029182879377431907	0.006809338521400778	0	0.009727626459143969	0.0029182879377431907	9.727626459143969e-4
Глава 7	0	0.009673518742442563	0.0024183796856106408	0.009673518742442563	0.0012091898428053204	0	0.016928657799274487	0.0036275695284159614	0.01128577186618299
Глава 8	0.003875968992248062	0.0015503875968992248	3.875968992248062e-4	0.01124031007751938	0	0	0	0.017829457364341085	0.01627906976744186
Глава 9	0.0027901785714285715	0.0016741071428571428	0	0	0.0016741071428571428	0.0027901785714285715	0	0.0078125	0.005580357142857143
